_CRIT_, _XCONV_, _FCONV_, _SEGMENT_, _FREQ_, _RMSSTD_, _RADIUS_, _NEAR_, _GAP_, Alcohol, Ash, Ash_Alcanity, Color_Intensity, Flavanoids, Hue, Magnesium, Malic_Acid, Nonflavanoid_Phenols, OD280, Proanthocyanins, Proline, Total_Phenols, 
0.6978772243, 0, 0, 1, 36, 0.5677557933, 3.1512088769, 4, 2.044654847, 13.944166667, 2.5044444444, 17.002777778, 6.0497222222, 3.1083333333, 1.0836111111, 106.94444444, 1.8847222222, 0.2983333333, 3.0872222222, 1.9516666667, 1228.25, 2.9466666667, 
0.6978772243, 0, 0, 2, 17, 0.8696298901, 4.3558163888, 3, 2.8864176977, 12.253529412, 2.6994117647, 23.123529412, 3.3135294118, 2.5564705882, 1.04, 104, 2.3164705882, 0.3576470588, 3.07, 1.8694117647, 578.47058824, 2.5276470588, 
0.6978772243, 0, 0, 3, 47, 0.716138552, 4.8556704666, 2, 2.8864176977, 12.307234043, 2.154893617, 19.653191489, 2.9087234043, 1.8704255319, 1.0643829787, 89.191489362, 1.8485106383, 0.3855319149, 2.7004255319, 1.4089361702, 482.25531915, 2.0931914894, 
0.6978772243, 0, 0, 4, 29, 0.7655818802, 4.8425403356, 1, 2.044654847, 13.135862069, 2.2279310345, 16.920689655, 4.4720689655, 2.7186206897, 1.0379310345, 106.62068966, 1.995862069, 0.2544827586, 3.165862069, 1.9975862069, 878.62068966, 2.7196551724, 
0.6978772243, 0, 0, 5, 49, 0.696823669, 4.888512917, 3, 3.919827068, 13.151632653, 2.4346938776, 21.43877551, 7.3432652857, 0.7979591837, 0.6859183673, 99.020408163, 3.3444897959, 0.4508163265, 1.6902040816, 1.1630612245, 627.55102041, 1.6781632653, 
